0 0 0
18:53:45   728   465
18:53:54   1374   834
18:54:06   1351   862
18:54:14   1492   936
18:54:25   1447   900
18:54:35   1471   901
18:54:45   1428   910
18:54:54   1374   869
18:55:05   1283   770
18:55:15   1320   818
18:55:25   1318   809
18:55:35   1441   881
18:55:45   1372   843
18:55:55   1353   838
18:56:05   1355   844
18:56:15   1305   819
18:56:25   1411   861
18:56:34   1365   853
18:56:45   1409   871
18:56:54   1265   796
18:57:05   1390   865
18:57:15   1334   840
18:57:24   1404   860
18:57:35   1415   882
18:57:45   1340   828
18:57:56   1295   802
18:58:04   1460   889
18:58:15   1368   839
18:58:25   1403   902
18:58:35   1352   835
18:58:44   1504   864
18:58:57   1110   654
