10,658,626,192,215,353,49,231,889,602
20,556,535,364,427,402,119,161,623,385
30,497,525,255,332,413,98,122,644,360
40,581,595,304,483,399,133,177,651,640
50,549,924,311,518,560,91,184,661,301
60,549,602,385,493,427,84,119,640,290
70,717,609,269,1298,483,84,163,609,217
80,451,546,255,311,469,98,126,584,269
90,518,469,255,637,455,182,184,556,654
100,486,598,290,684,427,63,133,640,378
110,525,442,325,108,451,105,112,682,472
120,514,283,423,731,402,184,112,605,322
130,535,595,301,406,339,191,191,672,689
140,584,739,182,323,385,191,184,630,560
150,525,602,276,270,493,191,198,633,479
160,584,588,252,119,392,105,173,560,409
170,514,340,535,490,483,163,119,626,801
180,528,556,276,581,521,126,184,535,240
190,493,567,399,581,395,198,187,710,231
200,465,626,406,350,444,108,119,651,303
210,500,581,420,577,465,112,142,633,486
220,507,588,297,560,476,147,105,668,570
230,500,521,304,220,427,191,133,679,370
240,630,612,280,362,451,119,122,647,577
250,710,595,178,481,406,156,156,654,574
260,561,563,168,525,497,170,112,665,665
270,480,890,304,357,504,198,98,644,259
280,633,792,413,476,462,170,105,693,448
290,584,574,224,255,490,184,194,637,355
300,451,732,276,423,458,149,198,584,304
