10,700,626,192,231,353,49,231,889,602
20,994,535,364,430,402,119,161,623,385
30,497,525,255,332,413,98,122,644,360
40,763,595,304,483,399,133,77,651,640
50,801,924,311,521,560,91,91,661,301
60,523,602,385,493,427,84,119,640,290
70,449,609,269,1298,483,84,63,609,217
80,565,546,255,311,469,98,133,584,269
90,766,469,255,637,455,182,84,556,654
100,486,598,290,543,427,63,133,640,378
110,525,344,325,397,451,105,112,682,472
120,592,283,423,731,402,84,112,605,322
130,535,595,301,406,339,91,91,672,689
140,1291,573,182,630,385,91,91,630,560
150,525,602,276,423,493,91,98,633,479
160,801,588,252,119,392,105,73,560,409
170,787,434,535,490,483,63,119,626,801
180,528,556,276,581,528,126,84,535,24
190,493,567,399,581,395,98,87,710,231
200,465,626,406,353,444,108,119,651,303
210,511,581,420,577,465,112,42,633,486
220,507,588,297,560,483,147,105,668,570
230,406,521,304,220,427,91,140,679,370
240,467,612,280,328,451,119,122,647,577
250,269,595,178,419,406,56,56,654,574
260,94,563,168,525,497,70,112,665,665
270,56,890,304,357,504,98,98,644,259
280,885,792,413,476,462,70,105,693,448
290,829,574,224,255,490,84,94,637,355
300,616,732,276,423,458,49,98,584,304
