10,113.671,458.323,59.85,75.854,596.85,29.218,40.872,54.936,412.458
20,245.25,470.818,55.932,60.899,613.734,16.246,9.471,213.013,100
30,37.513,186.704,24.791,4.419,278.167,1.235,0.785,104.544,100
40,53.605,130.171,55.557,10.937,709.967,2.238,1.482,17.198,10.449
50,28.969,86.178,5.326,19.87,282.313,2.312,1.643,31.254,10.51
60,672.397,619.544,15.063,14.494,2111.35,1.075,5.58,185.021,100
70,54.954,175.243,46.942,2.284,1627.608,0.955,1.176,51.327,100
80,0.407,36.422,0.217,0.252,447.667,0.236,0.038,17.707,5.29
90,114.694,497.298,12.499,0.291,1436.632,0.763,1.044,81.69,100
100,48.232,222.943,9.49,57.526,1500.36,1.215,1.094,23.017,19.682
110,94.031,286.157,14.55,0.997,1848.812,17.786,6.492,95.313,27.952
120,609.556,516.04,75.728,37.46,5013.042,15.946,9.315,241.261,0.895
130,195.297,496.472,7.191,1.609,1439.107,8.078,0.907,111.952,23.787
140,19.716,187.278,0.207,34.443,1036.628,2.815,2.158,33.731,36.429
150,207.177,1094.53,27.89,431.317,1926.818,17.518,0.978,181.068,100
160,179.385,272.135,0.533,284.71,2007.686,22.772,3.707,5.243,42.16
170,223.49,990.663,192.237,9.093,6115.787,9.116,7.494,137.946,47.45
180,15.809,96.472,8.616,3.367,482.393,0.129,0.029,55.729,11.338
190,356.605,497.572,76.418,59.984,3706.726,10.434,1.066,192.374,81.935
200,40.356,130.146,11.544,23.667,442.116,1.52,2.165,40.886,14.097
210,23.753,187.22,66.744,3.684,528.25,1.957,1.758,59.784,23.388
220,93.502,100.259,4.281,59.358,256.98,1.165,0.195,35.564,22.784
230,264.329,892.451,28.679,31.607,3559.994,1.901,4.727,227.482,69.772
240,4.018,81.807,2.493,0.214,443.667,0.038,1.993,58.464,27.501
250,100,1406.441,33.542,150.869,1372.088,16.269,9.853,84.385,51.024
260,100,617.252,14.904,136.53,850.224,0.73,3.635,81.931,100
270,1021.081,1151.418,0.059,100,2440.729,12.28,9.509,273.87,28.631
280,6.58,111.559,16.615,24.678,429.268,2.342,2.345,98.106,9.264
290,18.073,359.517,18.256,12.391,929.296,9.809,0.453,317.594,21.521
300,12.715,184.988,10.352,2.7,275.379,6.385,11.746,159.979,30.327
