0 0 0
22:49:38   442   259
22:49:47   912   555
22:49:58   792   530
22:50:08   933   580
22:50:17   850   517
22:50:28   862   540
22:50:39   881   574
22:50:47   826   508
22:50:58   916   569
22:51:07   803   504
22:51:18   940   555
22:51:28   927   583
22:51:38   785   502
22:51:47   921   575
22:51:58   921   584
22:52:08   872   552
22:52:18   826   524
22:52:27   921   570
22:52:38   932   581
22:52:48   867   548
22:52:58   964   556
22:53:07   913   546
22:53:17   877   548
22:53:27   421   217
22:53:40   86   55
22:53:59   18   9
22:54:04   87   53
22:54:13   433   265
22:54:23   391   234
22:54:33   649   419
22:54:44   626   425
